DATE,NYGDPPCAPKDSWE
1960-01-01,16525.3610487407
1961-01-01,17382.1380092371
1962-01-01,18022.7749590695
1963-01-01,18876.3227449503
1964-01-01,20013.8211147241
1965-01-01,20583.8667315087
1966-01-01,20815.227246362
1967-01-01,21351.2973543117
1968-01-01,22004.1547418406
1969-01-01,22944.5496519972
1970-01-01,24388.2982101309
1971-01-01,24449.8627753744
1972-01-01,24935.6623161897
1973-01-01,25880.4576182711
1974-01-01,26630.7799151019
1975-01-01,27202.3438863705
1976-01-01,27390.3768576514
1977-01-01,26857.5992015998
1978-01-01,27248.574338554
1979-01-01,28233.2417691962
1980-01-01,28654.9710634965
1981-01-01,28750.8038276117
1982-01-01,29093.1613210421
1983-01-01,29632.6983848712
1984-01-01,30857.9705441183
1985-01-01,31472.5916095749
1986-01-01,32244.5427172446
1987-01-01,33214.9576323827
1988-01-01,33908.7385537576
1989-01-01,34577.4837345325
1990-01-01,34570.3057339939
1991-01-01,33941.9851819102
1992-01-01,33352.5383635834
1993-01-01,32474.4299146671
1994-01-01,33511.6487224481
1995-01-01,34648.1189154575
1996-01-01,35139.4029916108
1997-01-01,36197.6342064807
1998-01-01,37737.4622753825
1999-01-01,39309.5970016519
2000-01-01,41117.1524303504
2001-01-01,41601.3076782847
2002-01-01,42377.119637975
2003-01-01,43194.9261684047
2004-01-01,44891.323206397
2005-01-01,45990.3743263984
2006-01-01,47864.8108642309
2007-01-01,49145.1958332412
2008-01-01,48544.1158941036
2009-01-01,46043.4809449994
2010-01-01,48369.9100407876
2011-01-01,49539.9726076492
2012-01-01,48885.5484179725
2013-01-01,49048.8187500238
2014-01-01,49855.301012313
2015-01-01,51545.4836095322
2016-01-01,51955.8610703634
2017-01-01,52576.8102821051
2018-01-01,52983.0068617482
2019-01-01,53490.3518198746
2020-01-01,51620.7010607563
