date,Country,GDP
1995-01-01,Denmark,34527.0
1995-04-01,Denmark,35418.8
1995-07-01,Denmark,35448.9
1995-10-01,Denmark,36091.4
1996-01-01,Denmark,36198.6
1996-04-01,Denmark,36896.9
1996-07-01,Denmark,37432.2
1996-10-01,Denmark,37304.6
1997-01-01,Denmark,37835.6
1997-04-01,Denmark,38304.2
1997-07-01,Denmark,38246.3
1997-10-01,Denmark,38777.9
1998-01-01,Denmark,38948.4
1998-04-01,Denmark,38870.3
1998-07-01,Denmark,39893.5
1998-10-01,Denmark,40430.4
1999-01-01,Denmark,40878.7
1999-04-01,Denmark,41316.9
1999-07-01,Denmark,41927.3
1999-10-01,Denmark,42848.8
2000-01-01,Denmark,43541.5
2000-04-01,Denmark,44212.5
2000-07-01,Denmark,44565.4
2000-10-01,Denmark,45696.5
2001-01-01,Denmark,45221.8
2001-04-01,Denmark,45766.6
2001-07-01,Denmark,46361.6
2001-10-01,Denmark,46697.8
2002-01-01,Denmark,47051.9
2002-04-01,Denmark,47199.0
2002-07-01,Denmark,47739.2
2002-10-01,Denmark,47803.9
2003-01-01,Denmark,48055.1
2003-04-01,Denmark,47844.7
2003-07-01,Denmark,48303.9
2003-10-01,Denmark,49150.8
2004-01-01,Denmark,49850.8
2004-04-01,Denmark,50164.7
2004-07-01,Denmark,50715.4
2004-10-01,Denmark,51691.6
2005-01-01,Denmark,52056.7
2005-04-01,Denmark,53070.6
2005-07-01,Denmark,53577.3
2005-10-01,Denmark,54126.6
2006-01-01,Denmark,55225.8
2006-04-01,Denmark,56978.9
2006-07-01,Denmark,56885.2
2006-10-01,Denmark,56442.6
2007-01-01,Denmark,57651.7
2007-04-01,Denmark,57612.6
2007-07-01,Denmark,58379.8
2007-10-01,Denmark,59736.0
2008-01-01,Denmark,60472.3
2008-04-01,Denmark,60317.4
2008-07-01,Denmark,61100.7
2008-10-01,Denmark,59724.9
2009-01-01,Denmark,58178.7
2009-04-01,Denmark,56912.9
2009-07-01,Denmark,57836.1
2009-10-01,Denmark,58348.2
2010-01-01,Denmark,59686.6
2010-04-01,Denmark,60444.5
2010-07-01,Denmark,61401.9
2010-10-01,Denmark,61634.5
2011-01-01,Denmark,61899.4
2011-04-01,Denmark,62034.6
2011-07-01,Denmark,61588.2
2011-10-01,Denmark,62355.7
2012-01-01,Denmark,63029.8
2012-04-01,Denmark,63683.8
2012-07-01,Denmark,63997.8
2012-10-01,Denmark,63867.2
2013-01-01,Denmark,64166.8
2013-04-01,Denmark,64325.2
2013-07-01,Denmark,64936.4
2013-10-01,Denmark,65313.3
2014-01-01,Denmark,65614.5
2014-04-01,Denmark,65819.3
2014-07-01,Denmark,66610.0
2014-10-01,Denmark,67711.5
2015-01-01,Denmark,68018.8
2015-04-01,Denmark,68055.9
2015-07-01,Denmark,68402.9
2015-10-01,Denmark,68541.5
2016-01-01,Denmark,69514.3
2016-04-01,Denmark,70533.5
2016-07-01,Denmark,70934.9
2016-10-01,Denmark,72125.8
2017-01-01,Denmark,72978.9
2017-04-01,Denmark,74111.9
2017-07-01,Denmark,73586.1
2017-10-01,Denmark,74128.8
2018-01-01,Denmark,74341.2
2018-04-01,Denmark,75013.5
2018-07-01,Denmark,76158.9
2018-10-01,Denmark,76815.1
2019-01-01,Denmark,76583.3
2019-04-01,Denmark,77341.4
2019-07-01,Denmark,78135.8
2019-10-01,Denmark,78415.6
2020-01-01,Denmark,78969.8
2020-04-01,Denmark,74275.6
2020-07-01,Denmark,79322.6
2020-10-01,Denmark,79947.5
2021-01-01,Denmark,79954.7
2021-04-01,Denmark,82670.9
2021-07-01,Denmark,85126.2
1995-01-01,Sweden,49709.4
1995-04-01,Sweden,48882.8
1995-07-01,Sweden,50884.9
1995-10-01,Sweden,55096.2
1996-01-01,Sweden,56363.7
1996-04-01,Sweden,57272.4
1996-07-01,Sweden,58299.0
1996-10-01,Sweden,57951.4
1997-01-01,Sweden,57625.6
1997-04-01,Sweden,57783.4
1997-07-01,Sweden,59954.5
1997-10-01,Sweden,61546.9
1998-01-01,Sweden,60726.4
1998-04-01,Sweden,62467.2
1998-07-01,Sweden,60177.3
1998-10-01,Sweden,58599.5
1999-01-01,Sweden,61832.8
1999-04-01,Sweden,62897.4
1999-07-01,Sweden,64976.6
1999-10-01,Sweden,67176.9
2000-01-01,Sweden,68818.9
2000-04-01,Sweden,72793.9
2000-07-01,Sweden,72683.7
2000-10-01,Sweden,70913.7
2001-01-01,Sweden,68444.8
2001-04-01,Sweden,68647.3
2001-07-01,Sweden,66430.9
2001-10-01,Sweden,67267.6
2002-01-01,Sweden,69556.9
2002-04-01,Sweden,70955.7
2002-07-01,Sweden,70902.5
2002-10-01,Sweden,72463.1
2003-01-01,Sweden,73261.7
2003-04-01,Sweden,73001.4
2003-07-01,Sweden,74368.3
2003-10-01,Sweden,76237.7
2004-01-01,Sweden,75900.1
2004-04-01,Sweden,76785.9
2004-07-01,Sweden,77777.8
2004-10-01,Sweden,79236.0
2005-01-01,Sweden,79040.7
2005-04-01,Sweden,78639.8
2005-07-01,Sweden,78781.4
2005-10-01,Sweden,78843.9
2006-01-01,Sweden,81341.9
2006-04-01,Sweden,83518.9
2006-07-01,Sweden,85212.8
2006-10-01,Sweden,87317.0
2007-01-01,Sweden,88670.1
2007-04-01,Sweden,89083.4
2007-07-01,Sweden,89626.1
2007-10-01,Sweden,91796.8
2008-01-01,Sweden,90670.3
2008-04-01,Sweden,91276.5
2008-07-01,Sweden,90762.4
2008-10-01,Sweden,82518.0
2009-01-01,Sweden,75897.2
2009-04-01,Sweden,77334.5
2009-07-01,Sweden,80159.2
2009-10-01,Sweden,81362.8
2010-01-01,Sweden,87177.2
2010-04-01,Sweden,91522.6
2010-07-01,Sweden,95937.0
2010-10-01,Sweden,99720.3
2011-01-01,Sweden,103995.7
2011-04-01,Sweden,102966.1
2011-07-01,Sweden,103204.9
2011-10-01,Sweden,102225.4
2012-01-01,Sweden,105245.3
2012-04-01,Sweden,105621.6
2012-07-01,Sweden,111267.6
2012-10-01,Sweden,108474.1
2013-01-01,Sweden,111637.4
2013-04-01,Sweden,110852.6
2013-07-01,Sweden,110462.1
2013-10-01,Sweden,109430.1
2014-01-01,Sweden,110766.3
2014-04-01,Sweden,109898.7
2014-07-01,Sweden,109284.2
2014-10-01,Sweden,109694.9
2015-01-01,Sweden,111139.2
2015-04-01,Sweden,113714.7
2015-07-01,Sweden,113904.6
2015-10-01,Sweden,116663.7
2016-01-01,Sweden,116382.9
2016-04-01,Sweden,117822.6
2016-07-01,Sweden,115946.5
2016-10-01,Sweden,115303.2
2017-01-01,Sweden,119281.3
2017-04-01,Sweden,119145.9
2017-07-01,Sweden,121241.5
2017-10-01,Sweden,120164.6
2018-01-01,Sweden,119382.2
2018-04-01,Sweden,116985.0
2018-07-01,Sweden,115355.2
2018-10-01,Sweden,119268.1
2019-01-01,Sweden,120104.2
2019-04-01,Sweden,118755.5
2019-07-01,Sweden,118558.6
2019-10-01,Sweden,119788.6
2020-01-01,Sweden,119956.8
2020-04-01,Sweden,110893.2
2020-07-01,Sweden,120287.1
2020-10-01,Sweden,124140.8
2021-01-01,Sweden,128571.8
2021-04-01,Sweden,130154.8
2021-07-01,Sweden,132666.3
