country,date,happiness,expectancy
Burundi,2010,3.706,57.228
Burundi,2011,3.706,57.925
Burundi,2012,3.706,58.568
Burundi,2013,2.905,59.148
Burundi,2014,2.905,59.665
Burundi,2015,2.905,60.123
Burundi,2016,3.775,60.528
Burundi,2017,3.775,60.898
Burundi,2018,3.775,61.247
Burundi,2019,3.775,61.584
China,2005,4.721,72.985
China,2006,4.721,73.271
China,2007,4.721,73.553
China,2008,4.721,73.835
China,2009,4.721,74.119
China,2010,4.978,74.409
China,2011,4.978,74.708
China,2012,4.978,75.013
China,2013,5.245,75.321
China,2014,5.245,75.629
China,2015,5.245,75.928
China,2016,5.191,76.21
China,2017,5.191,76.47
China,2018,5.191,76.704
China,2019,5.399,76.912
Finland,2005,7.672,78.8170731707317
Finland,2006,7.672,79.2146341463415
Finland,2007,7.672,79.2634146341464
Finland,2008,7.672,79.5682926829268
Finland,2009,7.672,79.719512195122
Finland,2010,7.389,79.8707317073171
Finland,2011,7.389,80.4707317073171
Finland,2012,7.389,80.6268292682927
Finland,2013,7.498,80.9756097560976
Finland,2014,7.498,81.1804878048781
Finland,2015,7.498,81.4804878048781
Finland,2016,7.769,81.4292682926829
Finland,2017,7.769,81.6317073170732
Finland,2018,7.769,81.7341463414634
Finland,2019,7.842,81.7853658536586
Russia,2005,5.118,65.529756097561
Russia,2006,5.118,66.7275609756098
Russia,2007,5.118,67.5868292682927
Russia,2008,5.118,67.9492682926829
Russia,2009,5.118,68.6846341463415
Russia,2010,5.464,68.8412195121951
Russia,2011,5.464,69.6839024390244
Russia,2012,5.464,70.0721951219512
Russia,2013,5.716,70.5787804878049
Russia,2014,5.716,70.7436585365854
Russia,2015,5.810,71.1834146341463
Russia,2016,5.810,71.6512195121951
Russia,2017,5.810,72.4514634146342
Russia,2018,5.546,72.6621951219512
Russia,2019,5.546,73.0839024390244
Saudi Arabia,2005,7.172,73.256
Saudi Arabia,2006,7.172,73.355
Saudi Arabia,2007,7.172,73.467
Saudi Arabia,2008,7.172,73.598
Saudi Arabia,2009,7.172,73.75
Saudi Arabia,2010,6.480,73.917
Saudi Arabia,2011,6.480,74.089
Saudi Arabia,2012,6.480,74.254
Saudi Arabia,2013,6.379,74.402
Saudi Arabia,2014,6.379,74.533
Saudi Arabia,2015,6.379,74.651
Saudi Arabia,2016,6.375,74.761
Saudi Arabia,2017,6.375,74.874
Saudi Arabia,2018,6.375,74.998
Saudi Arabia,2019,6.494,75.133
Switzerland,2005,7.347,81.237
Switzerland,2006,7.347,81.49
Switzerland,2007,7.347,81.741
Switzerland,2008,7.347,81.993
Switzerland,2009,7.347,82.044
Switzerland,2010,7.650,82.246
Switzerland,2011,7.650,82.695
Switzerland,2012,7.650,82.698
Switzerland,2013,7.509,82.798
Switzerland,2014,7.509,83.198
Switzerland,2015,7.509,82.898
Switzerland,2016,7.480,83.602
Switzerland,2017,7.480,83.551
Switzerland,2018,7.480,83.754
Switzerland,2019,7.571,83.705
