country,happiness2021,Continent,freedom
Afghanistan,2.5230,Asia,0.39365616440773
Albania,5.1170,Europe,0.753671050071716
Algeria,4.8870,Africa,0.385083436965942
Argentina,5.9290,America,0.823391616344451
Armenia,5.2830,Asia,0.844324111938476
Australia,7.1830,Oceania,0.905282974243164
Austria,7.2680,Europe,0.911909878253936
Azerbaijan,5.1710,Asia,0.854248523712158
Bahrain,6.6470,Asia,0.945232570171356
Bangladesh,5.0250,Asia,0.777467191219329
Belarus,5.5340,Europe,0.656933605670928
Belgium,6.8340,Europe,0.766917824745178
Benin,5.0450,Africa,0.783114671707153
Bolivia,5.7160,America,0.877031922340393
Bosnia and Herzegovina,5.8130,Europe,0.740250825881958
Botswana,3.4670,Africa,0.832542657852172
Brazil,6.3300,America,0.786235094070434
Bulgaria,5.2660,Europe,0.818224787712097
Burkina Faso,4.8340,Africa,0.677546858787536
Burundi,3.7750,Africa,0.646398603916168
Cambodia,4.8300,Asia,0.963075459003448
Cameroon,5.1420,Africa,0.674509167671203
Canada,7.1030,America,0.886892199516296
Chad,4.3550,Africa,0.537245690822601
Chile,6.1720,America,0.781383574008941
China,5.3390,Asia,0.891122996807098
Colombia,6.0120,America,0.840186119079589
Comoros,4.2890,Africa,0.538261532783508
Costa Rica,7.0690,America,0.926830112934112
Croatia,5.8820,Europe,0.836657643318176
Cyprus,6.2230,Europe,0.762782335281372
Czech Republic,6.9650,Europe,0.906422019004821
Denmark,7.6200,Europe,0.937931835651397
Dominican Republic,5.5450,America,0.834642946720123
Ecuador,5.7640,America,0.828511536121368
Egypt,4.2830,Africa,0.828511536121368
El Salvador,6.0610,America,0.769550323486328
Estonia,6.1890,Europe,0.92394483089447
Eswatini,4.3080,Africa,0.954200565814971
Ethiopia,4.2750,Africa,0.768694281578063
Finland,7.8420,Europe,0.962423682212829
France,6.6900,Europe,0.962423682212829
Gabon,4.8520,Africa,0.823386311531066
Gambia,5.0510,Africa,0.736349880695343
Georgia,4.8910,Asia,0.676595270633697
Germany,7.1550,Europe,0.7643523812294
Ghana,5.0880,Africa,0.864356040954589
Greece,5.7230,Europe,0.823720037937164
Guatemala,6.4350,America,0.56461364030838
Guinea,4.9840,Africa,0.900676310062408
Haiti,3.6150,America,0.691399097442626
Honduras,5.9190,America,0.84619003534317
Hong Kong,5.4770,Asia,0.705452263355255
Hungary,5.9920,Europe,0.770968079566955
Iceland,7.5540,Europe,0.948627173900604
India,3.8190,Asia,0.906391322612762
Indonesia,5.3450,Asia,0.865859150886535
Iran,4.7210,Asia,0.599594473838806
Iraq,4.8540,Asia,0.700214564800262
Ireland,7.0850,Europe,0.882098257541656
Israel,7.1570,Asia,0.83131581544876
Italy,6.4830,Europe,0.718155443668365
Ivory Coast,5.3060,Africa,0.769998013973236
Jamaica,6.3090,America,0.890670835971832
Japan,5.9400,Asia,0.806036114692687
